Tag,Description,Status,Type,System,Responsible,Dimensions,Weight,Voltage,Current,Frequency,IP_Rating
B-89013,Boiler Control System,Active,Control System,89,Company Y,1800x600x2000 mm,400 kg,120 V,15 A,60 Hz,IP54
P-89014,Purification System Controller,Operational,Controller,89,Company X,800x400x1200 mm,120 kg,24 V,2 A,DC,IP65
N-89015,Nitrogen Generator,Active,Generator,89,Company Z,2500x1500x2500 mm,3500 kg,240 V,15 A,50 Hz,IP55
O-89016,Oxygen Analyzer,Operational,Analyzer,89,Company Y,200x150x150 mm,3 kg,24 V,250 mA,DC,IP50
F-89017,Flow Controller,Active,Controller,89,Company X,250x200x180 mm,2.2 kg,24 V,20 mA,DC,IP65
P-89018,Pressure Relief Valve,Operational,Valve,89,Company Z,300x300x300 mm,12 kg,NA,NA,NA,IP66
E-89019,Electric Actuator,Commissioning,Actuator,89,Company Y,400x350x300 mm,20 kg,120 V,4 A,60 Hz,IP68
S-89020,Steam Trap,Active,Trap,89,Company X,200x200x150 mm,5 kg,N/A,N/A,N/A,IP54
V-89021,Vibration Monitor,Operational,Monitor,89,Company Z,300x300x100 mm,1.5 kg,24 V,100 mA,DC,IP66
L-89022,Lubrication Oil Pump,Active,Pump,89,Company Y,500x400x350 mm,30 kg,120 V,3 A,60 Hz,IP55
C-89023,Chiller Unit,Operational,Chiller,89,Company X,2200x1000x1500 mm,500 kg,380 V,30 A,50 Hz,IP44
H-89024,Heat Exchanger,Maintenance,Heat Exchanger,89,Company Z,2000x800x600 mm,800 kg,NA,NA,NA,IP32
G-89025,Gearbox Assembly,Commissioning,Gearbox,89,Company Y,400x300x400 mm,100 kg,NA,NA,NA,IP54
D-89026,Desalination Unit,Active,Desalination,89,Company X,4000x2000x3000 mm,10000 kg,440 V,20 A,60 Hz,IP56
R-89027,Rotary Pump,Operational,Pump,89,Company Z,600x500x400 mm,80 kg,240 V,2 A,60 Hz,IP65
S-89028,Screw Compressor,Active,Compressor,89,Company Y,1200x800x1000 mm,250 kg,380 V,30 A,50 Hz,IP55
T-89029,Turbocharger,Commissioning,Turbo,89,Company X,700x500x400 mm,50 kg,NA,NA,NA,IP66
C-89030,Centrifugal Compressor,Operational,Compressor,89,Company Z,1800x1500x1500 mm,1500 kg,415 V,45 A,50 Hz,IP55
B-89031,Bag Filter System,Active,Filter,89,Company Y,1000x800x1200 mm,200 kg,NA,NA,NA,IP54
W-89032,Wastewater Treatment Plant,Operational,Treatment Plant,89,Company X,5000x4000x3000 mm,20000 kg,380 V,100 A,50 Hz,IP56
S-89033,Sand Filter,Active,Filter,89,Company Z,1200x800x800 mm,300 kg,NA,NA,NA,IP65
I-89034,Industrial Mixer,Commissioning,Mixer,89,Company Y,1500x1000x2000 mm,500 kg,240 V,15 A,60 Hz,IP54
V-89035,Vacuum Pump,Operational,Pump,89,Company X,800x600x500 mm,70 kg,380 V,5 A,50 Hz,IP66
A-89036,Air Compressor,Active,Compressor,89,Company Z,1300x900x1000 mm,350 kg,415 V,20 A,50 Hz,IP55
E-80001,High Voltage Switchgear,Active,ACS,80,Company X,1200x3000x2400 mm,2000 kg,145 kV,2000 A,50 Hz,IP54
E-80002,Transformer T1,Active,Transformer,80,Company X,2500x4000x3200 mm,16000 kg,230 kV,650 A,50 Hz,IP44
E-80003,Diesel Generator Set,Active,Generator,80,Company X,3500x1500x2000 mm,8500 kg,11 kV,1200 A,50 Hz,IP23
E-80101,Power Distribution Panel PDP-1,Active,Panelboard,80,Company X,2100x800x600 mm,550 kg,11 kV,1200 A,50 Hz,IP54
E-80102,Grounding Resistor Unit,Active,Resistor,80,Company X,1000x1500x800 mm,450 kg,11 kV,10 A,50 Hz,IP23
E-80201,UPS System,Active,UPS,80,Company X,1600x800x400 mm,300 kg,400 V,100 A,50 Hz,IP20
E-80202,Capacitor Bank C1,Active,Capacitor,80,Company X,1800x1200x1200 mm,1000 kg,400 V,150 A,50 Hz,IP41
E-80301,Medium Voltage Switchgear,Active,Switchgear,80,Company X,3200x2200x2400 mm,5000 kg,36 kV,2500 A,50 Hz,IP54
E-80302,Variable Frequency Drive VFD-1,Active,VFD,80,Company X,2000x1500x700 mm,780 kg,400 V,320 A,50 Hz,IP21
E-80401,Metering and Protection Panel MPP-1,Active,Protection Panel,80,Company X,2100x800x600 mm,350 kg,400 V,200 A,50 Hz,IP52
E-81001,HV Cable for Main Distribution,Active,Cable,80,Company X,N/A,10 kg/m,145 kV,1000 A,50 Hz,NA
E-81002,Emergency Lighting System,Active,Lighting,80,Company X,N/A,5 kg/unit,230 V,10 A,50 Hz,IP65
E-81003,Power Distribution Board PDB-1,Active,Distribution Board,80,Company X,1000x2000x600 mm,400 kg,400 V,250 A,50 Hz,IP55
E-82001,Junction Box JB-1,Active,Junction Box,82,Company X,250x300x150 mm,5 kg,415 V,25 A,50 Hz,IP66
E-82002,Local Control Panel LCP-1,Active,Control Panel,82,Company X,600x800x300 mm,30 kg,24 V DC,10 A,N/A,IP65
E-83001,Instrument Air Compressor,Active,Compressor,83,Company X,1800x1600x800 mm,900 kg,400 V,20 A,50 Hz,IP55
E-83002,Gas Detector Station,Active,Gas Detector,83,Company X,200x300x150 mm,2.5 kg,24 V DC,100 mA,N/A,IP67
E-84001,CCTV Camera,Active,Camera,84,Company X,150x150x250 mm,4 kg,24 V AC,500 mA,60 Hz,IP66
E-84002,Access Control System,Active,Security System,84,Company X,1200x800x300 mm,80 kg,24 V DC,2 A,N/A,IP68
E-85001,Fire Extinguishing Panel,Active,Fire Control,85,Company X,800x600x300 mm,40 kg,N/A,N/A,N/A,IP30
E-85002,Smoke Detector,Active,Detector,85,Company X,100x100x50 mm,0.2 kg,24 V DC,250 mA,N/A,IP42
E-86001,HVAC Control Panel,Active,HVAC,86,Company X,800x600x300 mm,35 kg,230 V,5 A,50 Hz,IP54
E-86002,Chiller Unit CU-1,Active,Chiller,86,Company X,2500x1200x2000 mm,1500 kg,400 V,20 A,50 Hz,IP44
E-87001,Oil Water Separator OWS-1,Active,Separator,87,Company X,3500x2500x2200 mm,3200 kg,N/A,N/A,N/A,IP65
E-87002,Chemical Injection Skid,Active,Skid,87,Company X,5000x2000x2500 mm,5500 kg,415 V,15 A,50 Hz,IP54
E-88001,Workshop Equipment Set,Active,Workshop Equipment,88,Company X,N/A,N/A,N/A,N/A,N/A,NA
E-88002,Tool Storage Cabinet,Active,Storage,88,Company X,1000x500x2000 mm,150 kg,N/A,N/A,N/A,NA
E-88003,Portable Generator PG-1,Active,Generator,88,Company X,1200x800x600 mm,120 kg,230 V,15 A,50 Hz,IP23
E-89001,Temporary Shelter TS-1,Active,Shelter,89,Company X,5000x3000x2400 mm,2500 kg,N/A,N/A,N/A,NA
E-89002,Material Handling Cart,Active,Handling Cart,89,Company X,1200x800x600 mm,80 kg,N/A,N/A,N/A,NA
E-89003,Modular Office Furniture Set,Active,Furniture,89,Company X,N/A,N/A,N/A,N/A,N/A,NA
E-80002,Transformer T1,Active,TRF,80,Company X,1500x2500x2600 mm,10000 kg,130 kV,1500 A,50 Hz,IP55
E-80003,Generator G1,Operational,GEN,80,Company X,3500x4500x3000 mm,13000 kg,11 kV,2100 A,60 Hz,IP23
E-80004,High Voltage Cable 1,Active,CBL,80,Company X,NA,5500 kg/km,145 kV,2000 A,50 Hz,IP68
E-80005,High Voltage Panel P2,Maintenance Required,PAN,80,Company X,1100x2000x1000 mm,500 kg,100 kV,1800 A,50 Hz,IP54
E-80006,Electrical Protection Relay R1,Active,RLY,80,Company X,300x300x150 mm,5 kg,NA,NA,NA,IP40
E-80007,High Voltage Motor M1,Operational,MTR,80,Company X,2200x3000x1500 mm,8000 kg,6.6 kV,950 A,50 Hz,IP55
E-80008,UPS System 1,Active,UPS,80,Company X,600x800x1000 mm,200 kg,400 V,500 A,50 Hz,IP20
E-80009,Power Distribution Unit PDU-3,Ready for Operation,PDU,80,Company X,800x600x2000 mm,350 kg,240 V,100 A,50 Hz,IP52
E-80010,Voltage Regulator VR5,Standby,VRG,80,Company X,400x500x200 mm,20 kg,NA,NA,NA,IP00
E-81001,Intermediate Voltage Switchgear I1,Maintenance Required,ACS,81,Company X,1200x2500x2200 mm,1800 kg,69 kV,1500 A,60 Hz,IP42
E-81002,Power Factor Correction Unit PFC2,Active,PFC,81,Company X,800x1500x800 mm,250 kg,690 V,110 A,60 Hz,IP41
E-81003,Intermediate Voltage Cable 2,Active,CBL,81,Company X,NA,3800 kg/km,69 kV,1000 A,60 Hz,IP67
E-81004,Load Break Switch LBS4,Operational,LBS,81,Company X,600x800x600 mm,90 kg,15 kV,630 A,60 Hz,IP54
E-81005,Distribution Transformer DT7,Under Inspection,TRF,81,Company X,1300x2300x2400 mm,8000 kg,33 kV,500 A,50 Hz,IP23
E-81006,Gas Insulated Switchgear GIS1,Scheduled Maintenance,GIS,81,Company X,3500x4200x3000 mm,12000 kg,35 kV,1250 A,50 Hz,IP65
E-82001,Low Voltage Main Distribution Board LVMD1,Active,MD,82,Company X,2000x1500x800 mm,1200 kg,690 V,1600 A,50 Hz,IP54
E-82002,Automatic Transfer Switch ATS1,Operational,ATS,82,Company X,800x600x500 mm,50 kg,400 V,800 A,50 Hz,IP22
E-82003,Low Voltage Cable 3,Active,CBL,82,Company X,NA,1500 kg/km,0.6 kV,1200 A,50 Hz,IP68
E-82004,Battery Bank BB1,Active,BAT,82,Company X,1000x1200x800 mm,800 kg,48 V,700 A,DC,IP20
E-82005,Inverter IV1,Maintenance Required,INV,82,Company X,500x400x200 mm,25 kg,NA,NA,NA,IP21
E-82006,Variable Frequency Drive VFD2,Standby,VFD,82,Company X,600x800x300 mm,55 kg,0.4 kV,500 A,Variable,IP20
E-83001,Switchroom HVAC System 1,Active,HVAC,83,Company X,1800x2000x1000 mm,350 kg,NA,NA,NA,IP44
E-83002,Lighting Panel LP1,Operational,LP,83,Company X,800x500x200 mm,30 kg,230 V,15 A,50 Hz,IP54
E-83003,Fire Alarm Control Panel FACP1,Active,FACP,83,Company X,600x400x200 mm,15 kg,24 VDC,5 A,DC,IP30
E-83004,Portable Heater PH1,Ready for Operation,GEN,83,Company X,300x200x150 mm,5 kg,230 V,10 A,50 Hz,IP21
E-83005,Exhaust Fan EF2,Standby,FAN,83,Company X,400x400x300 mm,8 kg,230 V,0.4 A,50 Hz,IP44
E-84001,Instrument Air Compressor IAC1,Active,IAC,84,Company X,1500x1200x1000 mm,850 kg,NA,20 A,50 Hz,IP55
E-84002,Gas Detection Panel GDP2,Operational,GDP,84,Company X,600x500x250 mm,20 kg,24 VDC,2 A,DC,IP40
E-84003,Nitrogen Generator NG3,Under Inspection,GEN,84,Company X,Newtonian,2600x1500x1200 mm,500 kg,NA,NA,NA,IP54
E-84004,Chemical Injection Pump CIP4,Scheduled Maintenance,PMP,84,Area Y,500x400x300 mm,100 kg,NA,3 A,50 Hz,IP65
E-85001,Oil Pump OP1,Active,PMP,85,Company X,800x700x450 mm,120 kg,NA,15 A,50 Hz,IP55
E-85002,Water Injection Pump WIP2,Operational,PMP,85,Company X,900x800x500 mm,150 kg,NA,20 A,50 Hz,IP65
E-85003,Sampling Station SS3,Active,SMP,85,Company X,300x400x200 mm,30 kg,NA,NA,NA,IP44
E-85004,Chemical Storage Tank CST4,Maintenance Required,TANK,85,Company X,2000x2000x3000 mm,3000 kg,NA,NA,NA,IP54
E-86001,Pipe Support PS1,Active,SPT,86,Company X,Variable,Variable,NA,NA,NA,NA
E-86002,Threaded Valve TV2,Operational,VAL,86,Company X,100x150x100 mm,4 kg,NA,NA,NA,IP66
E-86003,Heat Exchanger HE3,Under Inspection,HEX,86,Company X,3000x1500x1500 mm,5000 kg,NA,NA,NA,IP54
E-86004,Flexible Hose Assembly FHA4,Standby,HOSE,86,Company X,Variable,1 kg/m,NA,NA,NA,IP00
E-87001,Control Panel CP1,Active,CNP,87,Company X,800x600x400 mm,100 kg,24 VDC,10 A,DC,IP56
E-87002,Pneumatic Actuator PA2,Operational,ACT,87,Company X,200x150x150 mm,5 kg,NA,NA,NA,IP66
E-87003,Solenoid Valve SV3,Ready for Operation,SV,87,Company X,50x80x50 mm,0.5 kg,24 VDC,1 A,DC,IP65
E-87004,Pressure Transmitter PT4,Under Inspection,PT,87,Company X,100x100x80 mm,0.8 kg,NA,4-20 mA,DC,IP67
E-88001,Foundation Bolt FB1,Active,BOLT,88,Company X,Variable,Variable,NA,NA,NA,NA
E-88002,Structural Beam SB2,Operational,BEAM,88,Company X,Variable,Variable/kg,NA,NA,NA,NA
E-88003,Handrail HR3,Standby,RAIL,88,Company X,Variable,Variable/m,NA,NA,NA,NA
E-88004,Ladder L1,Active,LAD,88,Company X,Variable,Variable/kg,NA,NA,NA,NA
E-89001,Hydraulic Power Unit HPU1,Operational,HPU,89,Company X,1500x1000x1200 mm,600 kg,NA,30 A,50 Hz,IP54
E-89002,General Purpose Container GC2,Standby,CONT,89,Company X,6000x2400x2591 mm,2300 kg,NA,NA,NA,NA
E-89003,Toolbox Kit TK3,Active,TOOL,89,Company X,1000x500x300 mm,50 kg,NA,NA,NA,NA
E-89004,Workshop Equipment WE4,Ready for Operation,EQP,89,Company X,Variable,Variable,NA,NA,NA,NA
E-89005,Office Furniture Set OFS5,Active,OFF,89,Company X,Variable,Variable,NA,NA,NA,NA
E-89006,Catering Equipment CE6,Active,CATR,89,Company X,Variable,Variable,230 V,16 A,50 Hz,IP20
E-80001,High Voltage Synchronous Generator,Active,Generator,80,Company X,3500x5000x3000 mm,12000 kg,13.8 kV,458 A,60 Hz,IP23
E-80002,High Voltage Transformer,Operational,Transformer,80,Company X,2500x8000x3500 mm,16000 kg,145 kV,1200 A,50 Hz,IP54
E-80003,High Voltage Circuit Breaker,Maintenance,Breaker,80,Company X,1600x1200x2500 mm,3200 kg,110 kV,3150 A,60 Hz,IP42
E-80004,Backup Diesel Generator,Inactive,Generator,80,Company X,3000x4430x2340 mm,8500 kg,480 V,800 A,60 Hz,IP22
E-80005,Main Power Distribution Panel,Operational,Distribution Panel,80,Company X,2000x7000x2100 mm,5000 kg,230 kV,1000 A,50 Hz,IP54
E-81001,Transformer Station Switchgear,Active,Switchgear,81,Company X,1200x3000x2400 mm,3200 kg,35 kV,630 A,50 Hz,IP54
E-81002,Switchgear Battery Unit,Maintenance,Battery,81,Company X,800x1200x600 mm,120 kg,220 V,125 A,DC,IP20
E-82001,Distribution MCC,Operational,MCC,82,Company X,1600x5000x2200 mm,4200 kg,690 V,2500 A,60 Hz,IP54
E-82002,Distribution Transformer,Operational,Transformer,82,Company X,1500x3100x3200 mm,3000 kg,35 kV,500 A,50 Hz,IP54
E-83001,Low Voltage Motor Control Center,Active,MCC,83,Area Y,2500x7000x2100 mm,3200 kg,400 V,3200 A,50 Hz,IP54
E-83002,AC/DC Power Supply,Operational,Power Supply,83,Company X,600x1200x800 mm,150 kg,24 V,60 A,DC,IP20
E-84001,Uninterruptible Power Supply System,Active,UPS,84,Company X,1200x2000x1000 mm,1000 kg,480 V,150 A,60 Hz,IP32
E-84002,UPS Battery Bank,Maintenance,Battery,84,Area Y,1200x2400x1800 mm,2000 kg,480 V,200 A,DC,IP22
E-85001,Grounding Transformer,Operational,Transformer,85,Area Y,1000x2000x1800 mm,2500 kg,6.9 kV,200 A,60 Hz,IP54
E-85002,Cathodic Protection Rectifier,Operational,Rectifier,85,Company X,800x600x400 mm,50 kg,110 V,50 A,DC,IP44
E-86001,Subsea Power Distribution Panel,Testing,Distribution Panel,86,Company X,2500x4000x1900 mm,6000 kg,690 V,800 A,60 Hz,IP68
E-86002,Subsea Power Jumper Cable,Active,Cable,86,Area Y,Dimensions vary,Weight varies,3 kV,120 A,AC,IPX8
E-87001,Solar Power Array,Active,Solar Array,87,Company X,Dimensions vary,Weight varies,48 V,Varies,DC,IP65
E-87002,Wind Turbine Generator,Active,Wind Turbine,87,Area Y,Dimensions vary,6000 kg,690 V,Varies,AC,IP55
E-88001,Energy Storage System,Operational,Battery Storage,88,Area Y,3000x5000x3000 mm,10000 kg,Voltage varies,Current varies,DC,IP54
E-88002,Energy Monitoring System,Active,Monitoring System,88,Company X,600x1200x800 mm,80 kg,230 V,10 A,50 Hz,IP20
E-89001,Plug and Abandonment Unit,Maintenance,P&A Unit,89,Area Y,15000x8000x4000 mm,55000 kg,Operates on Hydraulic Power,N/A,N/A,IP56
E-89002,Not Defined Equipment,Testing,System Equipment,89,Company X,Dimensions vary,Weight varies,Varies,Varies,Varies,IP Rating Varies
E-80001,High Voltage Switchgear,Active,Switchgear,80,Company X,1200x3000x2400 mm,2000 kg,145 kV,2000 A,50 Hz,IP54
E-80002,Transformer T-01,Operational,Transformer,80,Company X,2500x4000x3200 mm,10000 kg,145 kV,1500 A,50 Hz,IP54
E-80003,Power Distribution Panel PDP-01,Maintenance,Breaker Panel,80,Company X,2000x3000x600 mm,900 kg,33 kV,1200 A,60 Hz,IP52
E-80004,Emergency Diesel Generator Gen-01,Active,Generator,80,Company X,3500x1500x2200 mm,4500 kg,11 kV,1250 A,50 Hz,IP23
E-80005,UPS Unit U-01,Operational,UPS,80,Company X,600x800x1200 mm,250 kg,480 V,100 A,60 Hz,IP21
E-89795,Ultrasonic Flow Meter FM-2380,Active,Flow Meter,89,Company X,200x150x150 mm,5 kg,N/A,N/A,N/A,IP68
E-89796,Seawater Intake Valve V-7654,Maintenance,Valve,89,Company X,300x300x300 mm,40 kg,N/A,N/A,N/A,IP68
E-89797,Gas Detector GD-886,Maintenance,Gas Detector,89,Company X,100x100x120 mm,1.2 kg,N/A,N/A,N/A,IP67
E-89798,Atmospheric Pressure Sensor PS-1011,Inactive,Sensor,89,Company X,80x80x60 mm,0.5 kg,N/A,N/A,N/A,IP65
E-89799,Junction Box JB-3486,Operational,Junction Box,89,Company X,200x200x150 mm,3 kg,N/A,N/A,N/A,IP66
E-82999,Lube Oil Cooler OC-225,Planned,Oil Cooler,82,Company X,1000x800x1200 mm,500 kg,N/A,N/A,N/A,IP54
E-83000,Gas Compressor C-1500,Operational,Compressor,83,Company X,5000x2500x3000 mm,12000 kg,480 V,500 A,60 Hz,IP55
E-83001,Control Valve CV-125,Active,Valve,83,Company X,300x300x500 mm,50 kg,N/A,N/A,N/A,IP68
E-83002,Temperature Transmitter TT-2025,Active,Transmitter,83,Company X,150x100x80 mm,2 kg,N/A,N/A,N/A,IP67
E-83003,Pressure Transmitter PT-3112,Maintenance,Transmitter,83,Company X,150x100x80 mm,1.5 kg,N/A,N/A,N/A,IP66
E-84999,Flexible Coupling FC-884,Operational,Coupling,84,Company X,400x200x200 mm,10 kg,N/A,N/A,N/A,IP00
E-85000,Hydraulic Power Unit HPU-4775,Maintenance,Hydraulic Unit,85,Company X,2000x1500x1800 mm,1500 kg,380 V,100 A,50 Hz,IP54
E-85001,Ballast Water Treatment System BWTS-892,Active,Treatment System,85,Company X,4000x2000x2200 mm,6000 kg,440 V,150 A,60 Hz,IP55
E-85002,Nitrogen Generator N2G-318,Active,Generator,85,Company X,2500x1500x2000 mm,2200 kg,415 V,130 A,50 Hz,IP54
E-85003,Chemical Injection Skid CIS-487,Operational,Injection Skid,85,Company X,3200x2400x1800 mm,2800 kg,415 V,110 A,50 Hz,IP65
E-86999,Actuator ACT-9954,Operational,Actuator,86,Company X,300x150x150 mm,12 kg,N/A,N/A,N/A,IP66
E-87000,Filtration Unit FU-8833,Planned,Filter,87,Company X,800x600x900 mm,200 kg,N/A,N/A,N/A,IP54
E-87001,Sedimentation Tank ST-9448,Operational,Tank,87,Company X,10000x8000x6000 mm,15000 kg,N/A,N/A,N/A,IP00
E-87002,Waste Compactor WC-5125,Maintenance,Compactor,87,Company X,1500x1200x1800 mm,850 kg,440 V,40 A,60 Hz,IP55
E-87003,Hazardous Material Storage HMS-2277,Active,Storage,87,Company X,2000x2000x2000 mm,800 kg,N/A,N/A,N/A,IP54
...E-88999,Tool Crib TC-9987,Active,Storage,88,Company X,2500x2500x2500 mm,1200 kg,N/A,N/A,N/A,IP54
E-89000,Workbench WB-5000,Operational,Furniture,89,Company X,1200x800x900 mm,100 kg,N/A,N/A,N/A,IP00
E-89001,Office Container OC-450,Active,Container,89,Company X,6000x2450x2600 mm,3000 kg,N/A,N/A,N/A,IP55
E-89002,Safety Shower SS-321,Operational,Safety Equipment,89,Company X,900x900x2200 mm,50 kg,N/A,N/A,N/A,IP34
E-89003,Drinking Fountain DF-214,Maintenance,Hydration Station,89,Company X,300x300x1200 mm,40 kg,N/A,N/A,N/A,IP34
